127.0.0.1, 2020-02-07 13:33:21, GET, /admin/default/site, HTTP/1.1, 200, 0.041289
127.0.0.1, 2020-02-07 13:33:22, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.001341
127.0.0.1, 2020-02-07 13:33:22, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000681
127.0.0.1, 2020-02-07 13:33:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.046474
127.0.0.1, 2020-02-07 13:33:22, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000386
127.0.0.1, 2020-02-07 13:33:31, GET, /test/default/index, HTTP/1.1, 200, 0.127827
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.024635
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.030412
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/jquery.js, HTTP/1.1, 200, 0.035503
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/css/calendar.css, HTTP/1.1, 200, 0.037884
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/calendar.js, HTTP/1.1, 200, 0.044588
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/web2py.js, HTTP/1.1, 200, 0.036540
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.036421
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.033517
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.102385
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/images/background.jpg, HTTP/1.1, 404, 0.000220
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/images/favicon.png, HTTP/1.1, 200, 0.000749
127.0.0.1, 2020-02-07 13:33:31, GET, /test/static/images/favicon.ico, HTTP/1.1, 200, 0.006940
127.0.0.1, 2020-02-07 13:33:40, GET, /admin/default/index, HTTP/1.1, 303, 0.002463
127.0.0.1, 2020-02-07 13:33:40, GET, /admin/default/site, HTTP/1.1, 200, 0.023801
127.0.0.1, 2020-02-07 13:33:44, GET, /test/default/index, HTTP/1.1, 200, 0.022042
127.0.0.1, 2020-02-07 13:33:44, GET, /test/static/images/background.jpg, HTTP/1.1, 404, 0.000208
127.0.0.1, 2020-02-07 13:33:46, GET, /admin/default/index, HTTP/1.1, 303, 0.002964
127.0.0.1, 2020-02-07 13:33:46, GET, /admin/default/site, HTTP/1.1, 200, 0.025033
127.0.0.1, 2020-02-07 13:33:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.025253
127.0.0.1, 2020-02-07 13:33:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000250
127.0.0.1, 2020-02-07 13:33:52, GET, /admin/default/index, HTTP/1.1, 303, 0.002861
127.0.0.1, 2020-02-07 13:33:52, GET, /admin/default/site, HTTP/1.1, 200, 0.025901
127.0.0.1, 2020-02-07 13:33:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.017687
127.0.0.1, 2020-02-07 13:33:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000271
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/default/index, HTTP/1.1, 200, 0.015480
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.003673
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000308
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.008063
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.019139
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.023923
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.035927
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.041903
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001290
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002840
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001359
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001726
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002532
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/favicon.png, HTTP/1.1, 200, 0.000721
127.0.0.1, 2020-02-07 13:34:21, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.009631
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/default/download, HTTP/1.1, 200, 0.015358
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/css/artwork.css, HTTP/1.1, 200, 0.007345
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.000848
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.002029
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.002828
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.002149
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.002269
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.001657
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.001929
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.002180
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.004087
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.002030
127.0.0.1, 2020-02-07 13:34:53, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.001869
127.0.0.1, 2020-02-07 13:35:12, GET, /examples/default/download, HTTP/1.1, 200, 0.010494
127.0.0.1, 2020-02-07 13:35:15, GET, /examples/default/documentation, HTTP/1.1, 200, 0.036101
127.0.0.1, 2020-02-07 13:35:25, GET, /examples/default/support, HTTP/1.1, 200, 0.009683
127.0.0.1, 2020-02-07 13:35:27, GET, /examples/default/index, HTTP/1.1, 200, 0.008590
127.0.0.1, 2020-02-07 13:35:50, GET, /examples/default/index, HTTP/1.1, 200, 0.016719
127.0.0.1, 2020-02-07 13:35:54, GET, /, HTTP/1.1, 303, 0.000357
127.0.0.1, 2020-02-07 13:35:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.015876
127.0.0.1, 2020-02-07 13:35:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000258
